supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
;Цифрове зменшення шуму;2D;contains;DNR;;2D;62;TRUE;301105;attribute;
;Виявлення руху;Вимк;contains;Виявлення руху;;Так;63;TRUE;301105;attribute;
;Маскування конфіденційності;Увімк;contains;Приватні маски;;Так;64;TRUE;301105;attribute;
;"Роздільна здатність, Mpx";"([0-9]+(?:[.,][0-9]+)?)";regex;Кількість мегапікселів;Мп;$1 ;65;TRUE;301105;extract;
;"Роздільна здатність, Mpx";"([0-9]+(?:[.,][0-9]+)?)";regex;Роздільна здатність (Мп);;$1 ;66;TRUE;301105;extract;
;Аудіо;(вихід|динамік);regex;Аудиовихід;;Так;67;TRUE;301105;attribute;
;День і ніч;День;contains;Режим зйомки "День/ніч";;Так;68;TRUE;301105;attribute;
;Тип;Системи резервного живлення;exact;Тип устройства;;Автономні системи живлення;1;TRUE;14191106;attribute;
;Тип;модуль для віддаленого управління;exact;Тип устройства;;ДБЖ;2;TRUE;14191106;attribute;
;Тип;лінійно-інтерактивний з правильною синусоїдою;exact;Тип устройства;;ДБЖ;3;TRUE;14191106;attribute;
;Тип;лінійно-інтерактивний з правильною синусоїдою;exact;Тип устройства;;ДБЖ;4;TRUE;14191106;attribute;
;Тип;лінійно-інтерактивний з правильною синусоїдою;exact;Тип устройства;;ДБЖ;5;TRUE;14191106;attribute;
;Тип;блоки безперебійного живлення;exact;Тип устройства;;ДБЖ;6;TRUE;14191106;attribute;
;Тип;блоки безперебійного живлення;exact;Тип устройства;;ДБЖ;7;TRUE;14191106;attribute;
(?i).*\bконтрол+ер\b.*;;;regex;Тип пристрою;;Контролер;1;TRUE;301312;extract;
(?i).*\bwi[-\s]?fi\b.*;;;regex;Протокол зв'язку;;Wi-Fi;2;TRUE;301312;extract;
(?i).*\bwi[-\s]?fi\b.*;;;regex;Інтерфейс;;Бездротовий;3;TRUE;301312;extract;
;Тип;.*контрол.*;regex;Тип пристрою;;Контролер;4;TRUE;301312;attribute;
;Матеріал корпусу;.*пластик.*;regex;Матеріал;;Пластик;5;TRUE;301312;attribute;
;Матеріал корпусу;.*метал.*;regex;Матеріал;;Метал;6;TRUE;301312;attribute;
;Колір;.*чорн.*;regex;Колір;;Чорний;7;TRUE;301312;attribute;
;"Протоколи, кГц";^\s*125\s*(?:кГц)?\s*$;regex;Підтримка стандартів;;EM Marine;8;TRUE;301312;attribute;
;Емність;(\d+);regex;Max кількість ідентифікаторів;;$1 ;9;TRUE;301312;extract;
;Ступінь захисту;(IP[0-9]{2});regex;Захист обладнання від води і пилу IP;;$1 ;10;TRUE;301312;extract;
;Мінімальна робоча температура;(-?\d+);regex;Мінімальна робоча температура;град.;$1 ;11;TRUE;301312;extract;
;Максимальна робоча температура;(-?\d+);regex;Максимальна робоча температура;град.;$1 ;12;TRUE;301312;extract;
;"Робоча температура, °C";(-?\d+)\s*~\s*\+?-?\d+;regex;Мінімальна робоча температура;град.;$1 ;13;TRUE;301312;extract;
;"Робоча температура, °C";-?\d+\s*~\s*\+?(-?\d+);regex;Максимальна робоча температура;град.;$1 ;14;TRUE;301312;extract;
;"Висота, мм";([0-9]+(?:\.[0-9]+)?);regex;Висота;мм;$1 ;15;TRUE;301312;extract;
;"Довжина, мм";([0-9]+(?:\.[0-9]+)?);regex;Довжина;мм;$1 ;16;TRUE;301312;extract;
;"Ширина, мм";([0-9]+(?:\.[0-9]+)?);regex;Ширина;мм;$1 ;17;TRUE;301312;extract;
;"Гарантія, міс";([0-9]+);regex;Гарантійний термін;міс;$1 ;18;TRUE;301312;extract;
(?i).*\b(?:імпульсн|импульсн|pulse|switching)\b.*;;;regex;Тип блоку живлення;;Імпульсний;1;TRUE;14191103;extract;
(\d+(?:\.\d+)?)\s*[VВ]\s*\d+(?:\.\d+)?\s*[AА];;;regex;Вихідна напруга;В;$1 ;2;TRUE;14191103;extract;
\d+(?:\.\d+)?\s*[VВ]\s*(\d+(?:\.\d+)?)\s*[AА];;;regex;"Вихідний струм, не більше";А;$1 ;3;TRUE;14191103;extract;
\((\d+(?:\.\d+)?)\s*W\);;;regex;Вихідна потужність;Вт;$1 ;4;TRUE;14191103;extract;
;Тип;.*імпульсн.*;regex;Тип блоку живлення;;Імпульсний;5;TRUE;14191103;attribute;
;Тип корпусу;.*герметичний.*;regex;Тип корпусу;;Герметично закритий;6;TRUE;14191103;attribute;
;Тип корпусу;.*перфорован.*;regex;Тип корпусу;;Незакритий;7;TRUE;14191103;attribute;
;Матеріал корпусу;.*метал.*;regex;Матеріал корпусу;;Метал;8;TRUE;14191103;attribute;
;Матеріал корпусу;.*пластик.*;regex;Матеріал корпусу;;Пластик;9;TRUE;14191103;attribute;
;"Вхідна напруга, V";(\d+(?:\.\d+)?)\s*[-–—~]\s*\d+(?:\.\d+)?;regex;Мінімальна вхідна напруга;В;$1 ;10;TRUE;14191103;extract;
;"Вхідна напруга, V";\d+(?:\.\d+)?\s*[-–—~]\s*(\d+(?:\.\d+)?);regex;Максимальна вхідна напруга;В;$1 ;11;TRUE;14191103;extract;
;"Вихідна напруга, V";([0-9]+(?:\.[0-9]+)?);regex;Вихідна напруга;В;$1 ;12;TRUE;14191103;extract;
;"Потужність, W";([0-9]+(?:\.[0-9]+)?);regex;Вихідна потужність;Вт;$1 ;13;TRUE;14191103;extract;
;Захист від короткого замикання;.*є.*;regex;Захист від короткого замикання;;Так;14;TRUE;14191103;attribute;
;Захист від перевантаження;.*є.*;regex;Захист від перевантаження;;Так;15;TRUE;14191103;attribute;
;Тип захисту;(IP[0-9]{2});regex;Ступінь захисту IP;;$1 ;16;TRUE;14191103;extract;
;Мінімальна робоча температура;(-?\d+);regex;Мінімальна робоча температура;град.;$1 ;17;TRUE;14191103;extract;
;Максимальна робоча температура;(-?\d+);regex;Максимальна робоча температура;град.;$1 ;18;TRUE;14191103;extract;
;"Робоча температура, °C";(-?\d+)\s*~\s*\+?-?\d+;regex;Мінімальна робоча температура;град.;$1 ;19;TRUE;14191103;extract;
;"Робоча температура, °C";-?\d+\s*~\s*\+?(-?\d+);regex;Максимальна робоча температура;град.;$1 ;20;TRUE;14191103;extract;
;"Довжина, мм";([0-9]+(?:\.[0-9]+)?);regex;Довжина;мм;$1 ;21;TRUE;14191103;extract;
;"Ширина, мм";([0-9]+(?:\.[0-9]+)?);regex;Ширина;мм;$1 ;22;TRUE;14191103;extract;
;"Висота, мм";([0-9]+(?:\.[0-9]+)?);regex;Висота;мм;$1 ;23;TRUE;14191103;extract;
;"Вага, кг";([0-9]+(?:\.[0-9]+)?);regex;Вага;кг;$1 ;24;TRUE;14191103;extract;
;"Гарантія, міс";([0-9]+);regex;Гарантійний термін;міс;$1 ;25;TRUE;14191103;extract;
;Тип індикації;.*світлодіод.*;regex;Тип індикації;;Світлодіодна;26;TRUE;14191103;attribute;
;Вихідне під'єднання;.*клем.*;regex;Гвинтове приєднання;;Так;27;TRUE;14191103;attribute;
;Тип під'єднання до мережі;.*клем.*;regex;Гвинтове приєднання;;Так;28;TRUE;14191103;attribute;
;Тип під'єднання споживача;.*гвинтов.*;regex;Гвинтове приєднання;;Так;29;TRUE;14191103;attribute;
.*\b(online|он-?лайн)\b.*;;;regex;Тип ДБЖ;;З подвійним перетворенням (On-line);1;TRUE;14191106;extract;
.*\b(offline|off-?line|standby)\b.*;;;regex;Тип ДБЖ;;Резервний (Off-line або Standby);2;TRUE;14191106;extract;
.*\b(line-?interactive|інтерактивн)\b.*;;;regex;Тип ДБЖ;;Лінійно-інтерактивний (Line-Interactive);3;TRUE;14191106;extract;
;Тип;(?i)лінійно-інтерактивн.*правильною синусоїдою;regex;Тип ДБЖ;;Лінійно-інтерактивний (Line-Interactive);4;TRUE;14191106;attribute;
".*\((\d+(?:[.,]\d+)?)\s*Вт\).*";;;regex;Вихідна потужність;Вт;$1 ;5;TRUE;14191106;attribute;
;"Потужність, VA/W";"^\s*\d+(?:[.,]\d+)?\s*/\s*(\d+(?:[.,]\d+)?)\s*$";regex;Вихідна потужність;Вт;$1 ;6;TRUE;14191106;attribute;
;"Потужність, W";"^\s*(\d+(?:[.,]\d+)?)\s*$";regex;Вихідна потужність;Вт;$1 ;7;TRUE;14191106;attribute;
;"Номінальна напруга АКБ, V";"^\s*(\d+(?:[.,]\d+)?)\s*$";regex;Напруга акумулятору;В;$1 ;8;TRUE;14191106;attribute;
;"Діапазон вхідної напруги, V";"^\s*(\d+(?:[.,]\d+)?)\s*[-–—~]\s*(\d+(?:[.,]\d+)?)\s*$";regex;Мінімальна вхідна напруга;В;$1 ;9;TRUE;14191106;attribute;
;"Діапазон вхідної напруги, V";"^\s*(\d+(?:[.,]\d+)?)\s*[-–—~]\s*(\d+(?:[.,]\d+)?)\s*$";regex;Максимальна вхідна напруга;В;$2 ;10;TRUE;14191106;attribute;
;"Вхідна напруга, V";"^\s*(\d+(?:[.,]\d+)?)\s*[-–—~]\s*(\d+(?:[.,]\d+)?)\s*$";regex;Мінімальна вхідна напруга;В;$1 ;11;TRUE;14191106;attribute;
;"Вхідна напруга, V";"^\s*(\d+(?:[.,]\d+)?)\s*[-–—~]\s*(\d+(?:[.,]\d+)?)\s*$";regex;Максимальна вхідна напруга;В;$2 ;12;TRUE;14191106;attribute;
;"Вихідна напруга, V";"^\s*(\d+(?:[.,]\d+)?)\s*(?:±.*)?$";regex;Вихідна напруга;В;$1 ;13;TRUE;14191106;attribute;
;Форма вихідної напруги;(?i)правильн.*синусо[їі]д.*|чист.*синусо[їі]д.*;regex;Форма вихідної напруги;;Чиста синусоїда;14;TRUE;14191106;attribute;
;Тип АКБ;(?i)^LiFePO4$;regex;Тип акумулятора;;LiFePO4;15;TRUE;14191106;attribute;
;"Максимальний струм заряду АКБ, A";"^\s*(\d+(?:[.,]\d+)?)\s*$";regex;Струм заряду;А;$1 ;16;TRUE;14191106;attribute;
;"Струм заряду від мережі, A";"^\s*(\d+(?:[.,]\d+)?)\s*$";regex;Струм заряду;А;$1 ;17;TRUE;14191106;attribute;
;"Частотний діапазон, Hz";^\s*(\d+)\s*(?:/\s*\d+)?\s*$;regex;Частота струму;Гц;$1 ;18;TRUE;14191106;attribute;
;"Вихідна частота, Гц";^\s*(\d+)\s*/\s*\d+;regex;Частота струму;Гц;$1 ;19;TRUE;14191106;attribute;
;"Максимальний ККД, %";"^\s*(\d+(?:[.,]\d+)?)\s*$";regex;"ККД, не менше";%;$1 ;20;TRUE;14191106;attribute;
;"Гарантія, міс";^\s*(\d+)\s*$;regex;Гарантійний термін;міс;$1 ;21;TRUE;14191106;attribute;
;Гарантія;^\s*(\d+)\s*$;regex;Гарантійний термін;міс;$1 ;22;TRUE;14191106;attribute;
;"Довжина, мм";"^\s*(\d+(?:[.,]\d+)?)\s*$";regex;Довжина;мм;$1 ;23;TRUE;14191106;attribute;
;"Ширина, мм";"^\s*(\d+(?:[.,]\d+)?)\s*$";regex;Ширина;мм;$1 ;24;TRUE;14191106;attribute;
;"Висота, мм";"^\s*(\d+(?:[.,]\d+)?)\s*$";regex;Висота;мм;$1 ;25;TRUE;14191106;attribute;
;"Вага, кг";"^\s*(\d+(?:[.,]\d+)?)\s*$";regex;Вага;кг;$1 ;26;TRUE;14191106;attribute;
;Матеріал корпусу;(?i)^метал$;regex;Матеріал корпусу;;Метал;27;TRUE;14191106;attribute;
;Встановлення;(?i)підлогов.*;regex;Тип монтажу;;Підлоговий;28;TRUE;14191106;attribute;
;Встановлення;(?i)настінн.*;regex;Тип монтажу;;Настінний;29;TRUE;14191106;attribute;
;Колір;(?i)чорн.*;regex;Колір корпусу;;Чорний;30;TRUE;14191106;attribute;
;Колір;(?i)сір.*;regex;Колір корпусу;;Сірий;31;TRUE;14191106;attribute;
;Кількість виходів;^\s*(\d+)\s*$;regex;Кількість вихідних розеток;шт.;$1 ;32;TRUE;14191106;attribute;
;Тип індикації;(?i)^LED$;regex;Індикація;;Світлова;33;TRUE;14191106;attribute;
;Тип індикації;(?i)^LCD$|^РК-дисплей$;regex;Індикація;;Цифрова;34;TRUE;14191106;attribute;
;Режим комунікації;\bRS485\b;regex;Інтерфейс для підключення зовнішніх пристроїв;;RS485;35;TRUE;14191106;attribute;
;Інтерфейс під'єднання до ПК;\bRS232\b;regex;Інтерфейс для підключення зовнішніх пристроїв;;RS232;36;TRUE;14191106;attribute;
;Функція стабілізації напруги AVR;(?i)^є$;regex;Автоматичне регулювання напруги;;Так;37;TRUE;14191106;attribute;
;Захист від перевантаження;(?i)^є$;regex;Захист від перевантаження;;Так;38;TRUE;14191106;attribute;
;Захист;(?i)перевантаженн;regex;Захист від перевантаження;;Так;39;TRUE;14191106;attribute;
;Захист від короткого замикання;(?i)^є$;regex;Захист від короткого замикання;;Так;40;TRUE;14191106;attribute;
;Захист;(?i)коротк.*замикан;regex;Захист від короткого замикання;;Так;41;TRUE;14191106;attribute;
;Ступінь захисту;(?i)IP\s*(\d{2});regex;Ступінь захисту IP;;$1 ;42;TRUE;14191106;attribute;
;Тип захисту;(?i)IP\s*(\d{2});regex;Ступінь захисту IP;;$1 ;43;TRUE;14191106;attribute;
;"Час перемикання, мс";"^\s*(\d+(?:[.,]\d+)?)\s*[-–—]\s*(\d+(?:[.,]\d+)?)\s*$";regex;Час перемикання;мс;$2 ;44;TRUE;14191106;attribute;
;"Час перемикання, мс";"^\s*(\d+(?:[.,]\d+)?)\s*$";regex;Час перемикання;мс;$1 ;45;TRUE;14191106;attribute;
(?i).*\bLEMG\b.*;;;regex;Тип замка;;Електромагнітний;1;TRUE;301010;name;
(?i).*\bLEMD\b.*;;;regex;Тип замка;;Електромагнітний;2;TRUE;301010;name;
(?i).*\bLEMR\b.*;;;regex;Тип замка;;ригельна система запирання;3;TRUE;301010;name;
(?i).*\bелектромагнітн\w*\b.*;;;regex;Тип замка;;Електромагнітний;4;TRUE;301010;name;
(?i).*\bелектроригельн\w*\b.*;;;regex;Тип замка;;ригельна система запирання;5;TRUE;301010;name;
(?i).*\bврізн\w*\b.*;;;regex;Тип встановлення замку;;Врізний;6;TRUE;301010;name;
(?i).*\bнакладн\w*\b.*;;;regex;Тип встановлення замку;;Накладний;7;TRUE;301010;name;
;Тип;(?i)замки\s+електромагнітні;regex;Тип замка;;Електромагнітний;8;TRUE;301010;attribute;
;Тип;(?i)замки\s+електроригельні;regex;Тип замка;;ригельна система запирання;9;TRUE;301010;attribute;
;Вид встановлення;(?i)накладн;regex;Тип встановлення замку;;Накладний;10;TRUE;301010;attribute;
;Вид встановлення;(?i)врізн;regex;Тип встановлення замку;;Врізний;11;TRUE;301010;attribute;
;Тип покриття;(?i)анодований\s+алюміній;regex;Матеріал замку;;Анодований алюміній;12;TRUE;301010;attribute;
;Тип покриття;(?i)нержавіюча\s+сталь;regex;Матеріал замку;;Нержавіюча сталь;13;TRUE;301010;attribute;
;"Сила утримання, кг";^(\d+)$;regex;Сила утримання;кг;$1 ;14;TRUE;301010;extract;
;"Сила утримання, кг";\d+[хxX](\d+);regex;Сила утримання;кг;$1 ;15;TRUE;301010;extract;
;"Живлення, V/A";^12(?:[/\\]|$|\s);regex;Живлення;;Мережа 12В;16;TRUE;301010;attribute;
;"Живлення, V/A";(?i)^2-dec;regex;Живлення;;Мережа 12В;17;TRUE;301010;attribute;
;"Живлення, V/A";(?i)^1-dec;regex;Живлення;;Мережа 12В;18;TRUE;301010;attribute;
;"Живлення, V/A";^9-15;regex;Живлення;;Мережа 12В;19;TRUE;301010;attribute;
;"Живлення, V/A";^(\d+)$;regex;Напруга;В;$1 ;20;TRUE;301010;extract;
;"Живлення, V/A";^(\d+)/[0-9.]+$;regex;Напруга;В;$1 ;21;TRUE;301010;extract;
;"Живлення, V/A";^\d+/([0-9.]+)$;regex;Значення вихідного струму;А;$1 ;22;TRUE;301010;extract;
;"Довжина, мм";"([0-9]+(?:[.,][0-9]+)?)";regex;Довжина;мм;$1 ;23;TRUE;301010;extract;
;"Ширина, мм";"([0-9]+(?:[.,][0-9]+)?)";regex;Ширина;мм;$1 ;24;TRUE;301010;extract;
;"Висота, мм";"([0-9]+(?:[.,][0-9]+)?)";regex;Висота;мм;$1 ;25;TRUE;301010;extract;
;"Вага, кг";"([0-9]+(?:[.,][0-9]+)?)";regex;Вага;кг;$1 ;26;TRUE;301010;extract;
;"Гарантія, міс";([0-9]+);regex;Гарантійний термін;міс;$1 ;27;TRUE;301010;extract;
;Індикація;(?i)^є$;regex;Індикація відкриття/закриття;;Так;28;TRUE;301010;attribute;
;Комплектація;(?i).*кріплення.*;regex;Кріпильний комплект;;Так;29;TRUE;301010;attribute;
;Комплектація;(?i).*трафарет.*;regex;Шаблон для монтажу;;Так;30;TRUE;301010;attribute;
;Комплектація;(?i).*інстр[уо]кці.*;regex;Інструкція по установці/експлуатації;;Так;31;TRUE;301010;attribute;
;Додатково;(?i).*кнопка\s+виходу.*;regex;Кнопка виходу;;1;32;TRUE;301010;attribute;
;Додатково;(\d+)\s*ключ;regex;Кількість ключів;;$1 ;33;TRUE;301010;extract;
;Додатково;(\d+)\s*ключ;regex;Відкриття пристрою;;Ключем;34;TRUE;301010;attribute;
;Додатково;(\d+)\s*карт;regex;Кількість шаблонів карт/ключів;;$1 ;35;TRUE;301010;extract;
;Додатково;(?i).*майстер[\s\-]карта.*;regex;Майстер-ключ;;Так;36;TRUE;301010;attribute;
;Додатково;(?i).*зчитувач.*;regex;Відкриття пристрою;;Ідентифікатором;37;TRUE;301010;attribute;
;Мінімальна робоча температура;"(-?\d+(?:[.,]\d+)?)";regex;Мінімальна робоча температура;град.;$1 ;100;TRUE;301010;extract;
;Максимальна робоча температура;"(\d+(?:[.,]\d+)?)";regex;Максимальна робоча температура;град.;$1 ;101;TRUE;301010;extract;
;"Робоча температура, °C";(?<!\d)((?:[\-–—−]\s*)?\d+)\s*(?:°\s*[cсС]|℃|°)?\s*[~\-–—]\s*\+?\s*((?:[\-–—−]\s*)?\d+)\s*(?:°\s*[cсС]|℃|°)?;regex;Мінімальна робоча температура;град.;$1 ;102;TRUE;301010;extract;
;"Робоча температура, °C";(?<!\d)((?:[\-–—−]\s*)?\d+)\s*(?:°\s*[cсС]|℃|°)?\s*[~\-–—]\s*\+?\s*((?:[\-–—−]\s*)?\d+)\s*(?:°\s*[cсС]|℃|°)?;regex;Максимальна робоча температура;град.;$2 ;103;TRUE;301010;extract;
;Тип;зчитувачі;exact;Тип пристрою;;Зчитувач електронний безконтактний;1;TRUE;301311;attribute;
;Вид встановлення;накладний;exact;Тип встановлення;;Накладної;2;TRUE;301311;attribute;
;Вид встановлення;врізний;exact;Тип встановлення;;Врізний;3;TRUE;301311;attribute;
;Вид встановлення;;exact;Форм-фактор;;Стаціонарний;4;TRUE;301311;attribute;
;Для встановлення;у приміщенні або на вулиці;exact;Застосування;;В приміщенні/Уличне;5;TRUE;301311;attribute;
;Для встановлення;в приміщенні;exact;Застосування;;У приміщенні;6;TRUE;301311;attribute;
;"Протоколи, кГц";^\s*125\s*(?:кГц)?\s*$;regex;Робоча частота пристрою;;125 КГц;7;TRUE;301311;attribute;
;"Протоколи, кГц";^\s*125\s*(?:кГц)?\s*$;regex;Підтримка стандартів;;EM Marine;8;TRUE;301311;attribute;
;Ступінь захисту;(IP[0-9]{2});regex;Захист обладнання від води і пилу IP;;$1 ;9;TRUE;301311;extract;
;Матеріал корпусу;метал;exact;Матеріал;;Метал;10;TRUE;301311;attribute;
;Матеріал корпусу;пластик;exact;Матеріал;;Пластик;11;TRUE;301311;attribute;
;Колір;білий;exact;Колір;;Білий;12;TRUE;301311;attribute;
;Колір;чорний;exact;Колір;;Чорний;13;TRUE;301311;attribute;
;"Довжина, мм";"([0-9]+(?:[.,][0-9]+)?)";regex;Довжина (мм);мм;$1 ;14;TRUE;301311;extract;
;"Ширина, мм";"([0-9]+(?:[.,][0-9]+)?)";regex;Ширина (мм);мм;$1 ;15;TRUE;301311;extract;
;"Висота, мм";"([0-9]+(?:[.,][0-9]+)?)";regex;Висота (мм);мм;$1 ;16;TRUE;301311;extract;
;Мінімальна робоча температура;(-?\d+);regex;Мінімальна робоча температура (град.);град.;$1 ;17;TRUE;301311;extract;
;Максимальна робоча температура;(-?\d+);regex;Максимальна робоча температура (град.);град.;$1 ;18;TRUE;301311;extract;
;"Гарантія, міс";([0-9]+);regex;Гарантійний термін (міс);міс;$1 ;19;TRUE;301311;extract;
.*IP\s*видеорегистратор.*;;;regex;Тип відеореєстратора;;NVR;1;TRUE;301101;extract;
.*Гибридный\s*видеорегистратор.*;;;regex;Тип відеореєстратора;;AHD;2;TRUE;301101;extract;
;Тип;^NVR$;regex;Тип відеореєстратора;;NVR;3;TRUE;301101;extract;
;Тип;^GHD$;regex;Тип відеореєстратора;;AHD;4;TRUE;301101;extract;
.*?(\d+)-канальный.*;;;regex;Кількість каналів;;$1 ;5;TRUE;301101;extract;
;Формат відеостиснення;.*H\.265\+.*;regex;Формат стиснення;;H.265+;6;TRUE;301101;extract;
;Формат відеостиснення;.*H\.265.*;regex;Формат стиснення;;H.265;7;TRUE;301101;extract;
;Формат відеостиснення;.*H\.264\+.*;regex;Формат стиснення;;H.264+;8;TRUE;301101;extract;
;Формат відеостиснення;.*H\.264.*;regex;Формат стиснення;;H.264;9;TRUE;301101;extract;
;Формат відеостиснення;.*MJPEG.*;regex;Формат стиснення;;MJPEG;10;TRUE;301101;extract;
;Формат відеостиснення;.*MPEG-4.*;regex;Формат стиснення;;MPEG-4;11;TRUE;301101;extract;
;Вхідна напруга / струм;DC\s*12\s*[VВB];regex;Живлення;;Мережа 12В;12;TRUE;301101;extract;
;RS485;(?i)^так$;regex;RS-485;;Так;13;TRUE;301101;value;
;HDMI 1;^(?!Н/Д).+$;regex;HDMI відеовихід;;Так;14;TRUE;301101;value;
;VGA;^(?!Н/Д).+$;regex;VGA відеовихід;;Так;15;TRUE;301101;value;
;Передача живлення на камери;(?i)^так$;regex;Підтримка PoE;;Так;16;TRUE;301101;value;
;POE;\d+\s*[VВ]\s*/\s*\d+\s*Port;regex;Підтримка PoE;;Так;17;TRUE;301101;value;
;POE;(\d+)\s*Port;regex;Кількість вбудованих портів POE;;$1 ;18;TRUE;301101;value;
;Кількість підтримуваних HDD;^\s*(\d+)\s*$;regex;Количество HDD;;$1 ;19;TRUE;301101;value;
;Кількість підтримуваних HDD;^\s*(\d+)\s*Hot\s*Plug\s*$;regex;Количество HDD;;$1 ;20;TRUE;301101;value;
;Кількість підтримуваних HDD;(?i)Hot\s*Plug;regex;Горячая замена HDD;;Так;21;TRUE;301101;value;
;Роздільна здатність;^4000х3000;regex;Дозвіл запису;;4000х3000;22;TRUE;301101;extract;
;Роздільна здатність;^3840x2160;regex;Дозвіл запису;;3840х2160;23;TRUE;301101;extract;
;Тривожні входи/виходи;16\s*вхідних\s*/\s*1\s*вихідний;regex;Тривожні входи/виходи;;16/1;24;TRUE;301101;extract;
;Тривожні входи/виходи;8\s*вхідних\s*/\s*1\s*вихідний;regex;Тривожні входи/виходи;;1-Aug;25;TRUE;301101;extract;
;Тривожні входи/виходи;16\s*вхідних\s*/\s*4\s*вихідних;regex;Тривожні входи/виходи;;16/4;26;TRUE;301101;extract;
;Комплектація;(?i)Мишка;regex;Управління відеореєстратором;;ПК миша і/або клавіатура;27;TRUE;301101;extract;
;Web;^(?!Н/Д).+$;regex;Управління відеореєстратором;;В вікні WEB-браузера;28;TRUE;301101;extract;
.*?(\d+)\s*MP\b.*;;;regex;Якість картинки;MP;$1 ;29;TRUE;301101;extract;
;Управління поворотними камерами;(?i)^є$;regex;Телеметрія;;Так;30;TRUE;301101;extract;
;Режим запису;Ручний режим;regex;Режимі ручної зйомки;;Так;31;TRUE;301101;extract;
;Режим запису;Таймер;regex;Режим запису за розкладом;;Так;32;TRUE;301101;extract;
;Режим запису;Динамічне виявлення;regex;Режим запису за рухом;;Так;33;TRUE;301101;extract;
;Мінімальна робоча температура;^\s*(-?\d+)\s*$;regex;Мінімальна робоча температура;град.;($1);34;TRUE;301101;extract;
;Максимальна робоча температура;^\s*(-?\d+)\s*$;regex;Максимальна робоча температура;град.;$1 ;35;TRUE;301101;extract;
;"Довжина, мм";"^\s*(\d+(?:[.,]\d+)?)\s*$";regex;Довжина;мм;$1 ;36;TRUE;301101;extract;
;"Ширина, мм";"^\s*(\d+(?:[.,]\d+)?)\s*$";regex;Ширина;мм;$1 ;37;TRUE;301101;extract;
;"Висота, мм";"^\s*(\d+(?:[.,]\d+)?)\s*$";regex;Висота;мм;$1 ;38;TRUE;301101;extract;
;"Вага, кг";"^\s*(\d+(?:[.,]\d+)?)\s*$";regex;Вага;кг;$1 ;39;TRUE;301101;extract;
;"Гарантія, міс";^\s*(\d+)\s*$;regex;Гарантійний термін;міс;$1 ;40;TRUE;301101;extract;
