supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
.*(?:мультигелев\w*|LPM-MG).*;;;regex;Тип акумулятора;;AGM;4;TRUE;5280501;name;
.*\bAGM\b.*;;;regex;Тип акумулятора;;AGM;5;TRUE;5280501;name;
.*\bLi-?ion\b.*;;;regex;Тип акумулятора;;Li-Ion;6;TRUE;5280501;name;
;Тип;LiFePO4;exact;Тип акумулятора;;LiFePO4;7;TRUE;5280501;attribute;
;Тип;Li-ion;exact;Тип акумулятора;;Li-Ion;8;TRUE;5280501;attribute;
;Тип;(?i)гелев\w*;regex;Тип акумулятора;;GEL;9;TRUE;5280501;attribute;
;Тип;(?i)AGM мультигелев\w*;regex;Тип акумулятора;;AGM;10;TRUE;5280501;attribute;
;Тип;(?i)AGM свинцево-кислотн\w*;regex;Тип акумулятора;;AGM;11;TRUE;5280501;attribute;
"\b(\d+(?:[.,]\d+)?)\s*Ah\b";;;regex;Ємність акумулятору;А. г;$1 ;12;TRUE;5280501;name;
"\b(\d+(?:[.,]\d+)?)\s*V\b";;;regex;Напруга;В;$1 ;13;TRUE;5280501;name;
;"Номінальна ємність, Ah";"(\d+(?:[.,]\d+)?)";regex;Ємність акумулятору;А. г;$1 ;14;TRUE;5280501;extract;
;"Номінальна напруга, V";"\d+\s*\((\d+(?:[.,]\d+)?)\)";regex;Напруга;В;$1 ;15;TRUE;5280501;extract;
;"Номінальна напруга, V";"^(\d+(?:[.,]\d+)?)$";regex;Напруга;В;$1 ;16;TRUE;5280501;extract;
;Тип клеми;[ТT]1\b;regex;Тип струмовивіду;;T1;17;TRUE;5280501;attribute;
;Тип клеми;[ТT]2\b;regex;Тип струмовивіду;;T2;18;TRUE;5280501;attribute;
;Тип клеми;[ТT]3\b;regex;Тип струмовивіду;;T3;19;TRUE;5280501;attribute;
;Тип клеми;[ТT]6\b;regex;Тип струмовивіду;;T6;20;TRUE;5280501;attribute;
;Тип клеми;[ТT]8\b;regex;Тип струмовивіду;;T8;21;TRUE;5280501;attribute;
;Тип клеми;[ТT]11\b;regex;Тип струмовивіду;;Т11;22;TRUE;5280501;attribute;
;Тип клеми;[ТT]12\b;regex;Тип струмовивіду;;T12;23;TRUE;5280501;attribute;
;Тип клеми;[ТT]14\b;regex;Тип струмовивіду;;Т14;24;TRUE;5280501;attribute;
;"Номінальний струм заряду, A";"(\d+(?:[.,]\d+)?)";regex;Струм заряду;А;$1 ;25;TRUE;5280501;extract;
;Кількість циклів;(\d+);regex;Напрацювання;циклів заряду;$1 ;26;TRUE;5280501;extract;
;Матеріал корпусу;(?i)^метал$;regex;Матеріал виготовлення корпусу;;Метал;27;TRUE;5280501;attribute;
;Мінімальна робоча температура;(-?\d+);regex;Мінімальна робоча температура;град.;$1 ;28;TRUE;5280501;extract;
;Максимальна робоча температура;(\d+);regex;Максимальна робоча температура;град.;$1 ;29;TRUE;5280501;extract;
;"Робоча температура розряду, °C";(-?\d+)\s*~\s*\+?\s*\d+;regex;Мінімальна робоча температура;град.;$1 ;30;TRUE;5280501;extract;
;"Робоча температура розряду, °C";-?\d+\s*~\s*\+?\s*(\d+);regex;Максимальна робоча температура;град.;$1 ;31;TRUE;5280501;extract;
;"Гарантія, міс";(\d+);regex;Гарантійний термін;міс;$1 ;32;TRUE;5280501;extract;
;"Довжина, мм **";"(\d+(?:[.,]\d+)?)";regex;Довжина;мм;$1 ;33;TRUE;5280501;extract;
;"Довжина, мм";"(\d+(?:[.,]\d+)?)";regex;Довжина;мм;$1 ;34;TRUE;5280501;extract;
;"Габаритні розміри (ДхШхВ), мм *";"(\d+(?:[.,]\d+)?)\s*[*×xXх]\s*(\d+(?:[.,]\d+)?)\s*[*×xXх]\s*(\d+(?:[.,]\d+)?)";regex;Довжина;мм;$1 ;35;TRUE;5280501;extract;
;"Ширина, мм **";"(\d+(?:[.,]\d+)?)";regex;Ширина;мм;$1 ;36;TRUE;5280501;extract;
;"Ширина, мм";"(\d+(?:[.,]\d+)?)";regex;Ширина;мм;$1 ;37;TRUE;5280501;extract;
;"Габаритні розміри (ДхШхВ), мм *";"(\d+(?:[.,]\d+)?)\s*[*×xXх]\s*(\d+(?:[.,]\d+)?)\s*[*×xXх]\s*(\d+(?:[.,]\d+)?)";regex;Ширина;мм;$2 ;38;TRUE;5280501;extract;
;"Висота, мм **";"(\d+(?:[.,]\d+)?)";regex;Висота;мм;$1 ;39;TRUE;5280501;extract;
;"Висота, мм";"(\d+(?:[.,]\d+)?)";regex;Висота;мм;$1 ;40;TRUE;5280501;extract;
;"Габаритні розміри (ДхШхВ), мм *";"(\d+(?:[.,]\d+)?)\s*[*×xXх]\s*(\d+(?:[.,]\d+)?)\s*[*×xXх]\s*(\d+(?:[.,]\d+)?)";regex;Висота;мм;$3 ;41;TRUE;5280501;extract;
;"Вага, кг";"(\d+(?:[.,]\d+)?)";regex;Вага;кг;$1 ;42;TRUE;5280501;extract;
;Інтерфейс зв'язку;(?i)bluetooth;regex;Особливості;;Наличие Bluetooth;43;TRUE;5280501;attribute;
;Тип;BMS LiFePO4;exact;Тип устройства;;Система керування акумулятора;44;TRUE;5280501;attribute;
;Тип;Smart BMS LiFePO4;exact;Тип устройства;;Система керування акумулятора;45;TRUE;5280501;attribute;
;Тип;BMS LTO;exact;Тип устройства;;Система керування акумулятора;46;TRUE;5280501;attribute;
;Тип;аксесуари для акумуляторів;exact;Тип устройства;;Аксесуари для акумуляторів;47;TRUE;5280501;attribute;
;Тип;AGM свинцево-кислотний;exact;Тип устройства;;Акумулятори;48;TRUE;5280501;attribute;
;Тип;AGM мультигелевий;exact;Тип устройства;;Акумулятори;49;TRUE;5280501;attribute;
;Тип;LiFePO4;exact;Тип устройства;;Акумулятори;50;TRUE;5280501;attribute;
;Тип;Li-ion;exact;Тип устройства;;Акумулятори;51;TRUE;5280501;attribute;
;Тип;гелевий;exact;Тип устройства;;Акумулятори;52;TRUE;5280501;attribute;
;Тип;аксесуари для акумуляторів;exact;Тип устройства;;Акумуляторний балансир;53;TRUE;5280501;attribute;
;Мінімальна робоча температура;"((?:[\-–—−]\s*)?\d+(?:[.,]\d+)?)";regex;Мінімальна робоча температура;град.;$1 ;100;TRUE;3029;extract;
;Максимальна робоча температура;"((?:[\-–—−]\s*)?\d+(?:[.,]\d+)?)";regex;Максимальна робоча температура;град.;$1 ;101;TRUE;3029;extract;
;"Робоча температура, °C";(?<!\d)((?:[\-–—−]\s*)?\d+)\s*(?:°\s*[cсС]|℃|°)?\s*(?:до|\||[~\-–—])\s*\+?\s*((?:[\-–—−]\s*)?\d+)\s*(?:°\s*[cсС]|℃|°)?;regex;Мінімальна робоча температура;град.;$1 ;102;TRUE;3029;extract;
;"Робоча температура, °C";(?<!\d)((?:[\-–—−]\s*)?\d+)\s*(?:°\s*[cсС]|℃|°)?\s*(?:до|\||[~\-–—])\s*\+?\s*((?:[\-–—−]\s*)?\d+)\s*(?:°\s*[cсС]|℃|°)?;regex;Максимальна робоча температура;град.;$2 ;103;TRUE;3029;extract;
;"Вага, кг";"([0-9]+(?:[.,][0-9]+)?)";regex;Вага;г;$1 кг;104;TRUE;3029;extract;
;"Гарантія, міс";([0-9]+);regex;Гарантійний термін;міс;$1 ;105;TRUE;3029;extract;
(?i).*(?:вызывная|визивна)\s+панел.*\bAHD\b.*;;;regex;Тип пристрою;;Відеопанель кольорова виклична;1;TRUE;3029;name;
(?i).*(?:вызывная|визивна)\s+панел.*\bIP\b.*;;;regex;Тип пристрою;;Відеопанель кольорова виклична;2;TRUE;3029;name;
(?i).*комплект.*(?:домофон|відеодомофон).*;;;regex;Тип пристрою;;Відеодомофон;3;TRUE;3029;name;
(?i).*(?:беспроводной|бездротовий)\s+(?:звонок|дзвінок).*;;;regex;Тип пристрою;;Аудіопанель виклична;4;TRUE;3029;name;
(?i).*(?:аудіодомофон|аудиодомофон).*;;;regex;Тип пристрою;;Аудіодомофон;5;TRUE;3029;name;
"(?i)(?:монітор|відеодомофон|домофон|monitor).*?((?:[4-9]|1[0-5])(?:[.,]\d+)?)\s*[""']""";;;regex;Діагональ екрану (дюйм);;$1 ;6;TRUE;3029;name;
"(?i)(?:монітор|відеодомофон|домофон|monitor).*?((?:[4-9]|1[0-5])(?:[.,]\d+)?)\s*дюйм";;;regex;Діагональ екрану (дюйм);;$1 ;7;TRUE;3029;name;
;"Роздільна здатність дисплея, MP";"([0-9]+(?:[.,][0-9]+)?)";regex;Роздільна здатність камери (Мп);;$1 ;8;TRUE;3029;extract;
;Кут огляду (градуси);"([0-9]+(?:[.,][0-9]+)?)";regex;Кут огляду камери;град.;$1 ;9;TRUE;3029;extract;
;"Слот для SD карти, GB";.+;regex;Порт для SD-карти;;Так;10;TRUE;3029;attribute;
;"Слот для SD карти, GB";.+;regex;Наявність блоку пам'яті;;Так;11;TRUE;3029;attribute;
;Запис;(?i)відео.?фото|фото.?відео;regex;Реєстрація подій;;Фото/Відео;12;TRUE;3029;attribute;
;Запис;(?i)^відео$;regex;Реєстрація подій;;Відео;13;TRUE;3029;attribute;
;Запис;(?i)^фото$;regex;Реєстрація подій;;Фото;14;TRUE;3029;attribute;
;"Живлення, V";(?:^|\s*)12(?:[^0-9]|$);regex;Живлення;;Мережа 12В;15;TRUE;3029;attribute;
;"Живлення, V";(?:^|\s*)24(?:[^0-9]|$);regex;Живлення;;Мережа 24В;16;TRUE;3029;attribute;
;"Живлення, V";(?:^|\s*)220(?:[^0-9]|$);regex;Живлення;;Мережа 220В;17;TRUE;3029;attribute;
;"Живлення, V";(?:^|\s*)230(?:[^0-9]|$);regex;Живлення;;Мережа 230В;18;TRUE;3029;attribute;
;"Живлення, V";100\s*[-–]\s*240;regex;Живлення;;Мережа 220В;19;TRUE;3029;attribute;
;Управління замком;.+;regex;Живлення замку від пристрою;;Так;20;TRUE;3029;attribute;
;Колір;(?i)сріблясти.*;regex;Колір корпусу;;Сріблястий;21;TRUE;3029;attribute;
;Колір;(?i)чорни.*;regex;Колір корпусу;;Чорний;22;TRUE;3029;attribute;
;Колір;(?i)(?:білий|белый|white);regex;Колір корпусу;;Білий;23;TRUE;3029;attribute;
;Колір;(?i)(?:сірий|серый|gray|grey);regex;Колір корпусу;;Сірий;24;TRUE;3029;attribute;
;Колір;(?i)(?:графіт|антрацит|graphite);regex;Колір корпусу;;Антрацит;25;TRUE;3029;attribute;
;Ступінь захисту;(IP[0-9]{2});regex;Захист обладнання від води і пилу IP;;$1 ;26;TRUE;3029;extract;
(?i).*\b(трех|трёх|3)[-\s]?фазн.*;;;regex;Кількість фаз живлення;;3;1;TRUE;5140401;name;
(?i).*\b(одно|1)[-\s]?фазн.*;;;regex;Кількість фаз живлення;;1;2;TRUE;5140401;name;
(?i).*(сонячн|солнечн).*;;;regex;Сонячна батарея;;Так;3;TRUE;5140401;name;
