Код_товару;Назва_позиції;Назва_позиції_укр;Пошукові_запити;Пошукові_запити_укр;Опис;Опис_укр;Тип_товару;Ціна;Валюта;Одиниця_виміру;Мінімальний_обсяг_замовлення;Оптова_ціна;Мінімальне_замовлення_опт;Посилання_зображення;Наявність;Кількість;Номер_групи;Назва_групи;Посилання_підрозділу;Можливість_поставки;Термін_поставки;Спосіб_пакування;Спосіб_пакування_укр;Унікальний_ідентифікатор;Ідентифікатор_товару;Ідентифікатор_підрозділу;Ідентифікатор_групи;Виробник;Країна_виробник;Знижка;ID_групи_різновидів;Особисті_нотатки;Продукт_на_сайті;Термін_дії_знижки_від;Термін_дії_знижки_до;Ціна_від;Ярлик;HTML_заголовок;HTML_заголовок_укр;HTML_опис;HTML_опис_укр;Код_маркування_(GTIN);Номер_пристрою_(MPN);Вага,кг;Ширина,см;Висота,см;Довжина,см;Де_знаходиться_товар;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
204310;Переключатель нагрузки ЕТІ SSQ 440 ″1-0-2″, 4p 40A;Перемикач навантаження ЕТІ SSQ 440 ″1-0-2″, 4p 40A;4P, ЕТІ 4P, 4P ЕТІ, модульное оборудование еті, еті модульное оборудование, модульное оборудование, автоматы электрические, модульные устройства, оборудование электрощита, автоматический выключатель, модульная автоматика, устройства защиты, электрооборудование модульное;4P, ЕТІ 4P, 4P ЕТІ, модульне обладнання еті, еті модульне обладнання, модульне обладнання, автомати електричні, модульні пристрої, обладнання електрощита, автоматичний вимикач, модульна автоматика, пристрої захисту, електрообладнання модульне;Модульные переключатели нагрузки SSQ I-0-II (сеть-генератор) обеспечивают простое и надежное переключение источников питания при аварийных ситуациях (например, отключение электроэнергии). Предназначены для установки в распределительные щиты. Нет теплового и электромагнитного расцепителя (не защищают от токов короткого замыкания и перегрузок). Возможна пломбировка в положении (I) и (II). Контактная группа обеспечивает надежный разрыв цепи (расстояние между контактами переключателя в разомкнутом состоянии более 3 мм).;Модульні перемикачі навантаження SSQ I-0-II (мережа-генератор) забезпечують просте та надійне перемикання джерел живлення в разі аварійних ситуацій (наприклад, відключення електроенергії). Призначені для встановлення в розподільні щити. Не мають теплового та електромагнітного розчіплювача (не захищають від струмів короткого замикання та перевантажень). Можливе пломбування в положенні (І) та (ІІ). Контактна група забезпечує надійний розрив кола (відстань між контактами перемикача в розімкненому стані більше 3 мм).;r;22.70;USD;шт.;;;;https://viatec.ua/upload/images/prod/2023-08/SSQ_440.webp;+;1;152133408;Модульное оборудование;https://prom.ua/Rele-differentsialnye;;;;;;99-00015171;14190906;;ЕТІ;Китай;;;V;https://viatec.ua/product/ETI-SSQ-440;;;;;;;;;;;0.34;7.5;7.5;9.0;;Підключення;;4 P;Номінальний струм, А;;40;Розрахункова напруга, Un;;40;Стандарти;;IEC 60947-3;Розмір упаковки (Ш х В х Г);;75 x 75 x 90 мм;Вага брутто;г;340;Строк гарантії;;12 міс.;Ширина;мм;75;Висота;мм;75;Довжина;мм;90;Вага;г;340;Гарантійний термін;міс;12;Стан;;Новий;Компанія-виробник;;ЕТІ;Країна-виробник;;Китай;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204310;Переключатель нагрузки ЕТІ SSQ 440 ″1-0-2″, 4p 40A;Перемикач навантаження ЕТІ SSQ 440 ″1-0-2″, 4p 40A;4P, ЕТІ 4P, 4P ЕТІ, модульное оборудование еті, еті модульное оборудование, модульное оборудование, автоматы электрические, модульные устройства, оборудование электрощита, автоматический выключатель, модульная автоматика, устройства защиты, электрооборудование модульное;4P, ЕТІ 4P, 4P ЕТІ, модульне обладнання еті, еті модульне обладнання, модульне обладнання, автомати електричні, модульні пристрої, обладнання електрощита, автоматичний вимикач, модульна автоматика, пристрої захисту, електрообладнання модульне;Модульные переключатели нагрузки SSQ I-0-II (сеть-генератор) обеспечивают простое и надежное переключение источников питания при аварийных ситуациях (например, отключение электроэнергии). Предназначены для установки в распределительные щиты. Нет теплового и электромагнитного расцепителя (не защищают от токов короткого замыкания и перегрузок). Возможна пломбировка в положении (I) и (II). Контактная группа обеспечивает надежный разрыв цепи (расстояние между контактами переключателя в разомкнутом состоянии более 3 мм).;Модульні перемикачі навантаження SSQ I-0-II (мережа-генератор) забезпечують просте та надійне перемикання джерел живлення в разі аварійних ситуацій (наприклад, відключення електроенергії). Призначені для встановлення в розподільні щити. Не мають теплового та електромагнітного розчіплювача (не захищають від струмів короткого замикання та перевантажень). Можливе пломбування в положенні (І) та (ІІ). Контактна група забезпечує надійний розрив кола (відстань між контактами перемикача в розімкненому стані більше 3 мм).;r;1138.80;UAH;шт.;;;;https://viatec.ua/upload/images/prod/2023-08/SSQ_440.webp;+;1;140905382;Безопасность и комфорт;https://prom.ua/Rele-differentsialnye;;;;;;prom_99-00015171;14190906;;ЕТІ;Китай;;;V, Vmin, noindex;https://viatec.ua/product/ETI-SSQ-440;;;;;;;;;;;0.34;7.5;7.5;9.0;;Підключення;;4 P;Номінальний струм, А;;40;Розрахункова напруга, Un;;40;Стандарти;;IEC 60947-3;Розмір упаковки (Ш х В х Г);;75 x 75 x 90 мм;Вага брутто;г;340;Строк гарантії;;12 міс.;Ширина;мм;75;Висота;мм;75;Довжина;мм;90;Вага;г;340;Гарантійний термін;міс;12;Стан;;Новий;Компанія-виробник;;ЕТІ;Країна-виробник;;Китай;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203767;Сетевой фильтр 1.8 м кабель 5 розеток Gembird SPG5-G-6B-PRO;Мережевий фільтр 1.8 м кабель 5 розеток Gembird SPG5-G-6B-PRO;SPG5-G-6B-PRO, Gembird SPG5-G-6B-PRO, SPG5-G-6B-PRO Gembird, удлинитель gembird, gembird удлинитель, удлинитель электрический, кабель удлинитель, удлинитель с розетками, удлинитель для дома, удлинитель силовой, удлинитель на катушке, кабель удлинитель длинный, удлинитель для техники;SPG5-G-6B-PRO, Gembird SPG5-G-6B-PRO, SPG5-G-6B-PRO Gembird, подовжувач gembird, gembird подовжувач, подовжувач електричний, кабель подовжувач, подовжувач з розетками, подовжувач для дому, подовжувач силовий, подовжувач на котушці, кабель подовжувач довгий, подовжувач для техніки;● Напряжение: 220 В, 50 Гц,<br>● Максимальное поглощение тока импульсного помехи 4500 А,<br>● Автоматический предохранитель: 16 А,<br>● Максимальная поглощаемая энергия (при продолжительности скачка напряжения 2мкс): 125 Дж,<br>● Длина: 1.8 м;● Напруга: 220 В, 50 Гц,<br>● Максимальне поглинання струму імпульсної перешкоди 4500 А,<br>● Автоматичний запобіжник: 16 А,<br>● Максимальна енергія, що поглинається (при тривалості стрибка напруги 2мкс): 125 Дж,<br>● Довжина: 1.8 м;r;8.59;USD;шт.;;;;https://viatec.ua/upload/images/prod/2024-07/SPG5-G-6B-PRO.webp;-;0;152196244;Вилки, колодки, удлинители;https://prom.ua/Udliniteli-elektricheskie;;;;;;99-00020996;513;;Gembird;Нідерланди;;;V;https://viatec.ua/product/Gembird-SPG5-G-6B-PRO;;;;;;;;;;;0.44;9.0;4.5;34.0;;Кількість розеток;;5;Довжина кабеля, м;;1.8;Заземлення;;Підтримує;Особливості;;автоматичний запобіжник із кнопкою скидання;Розмір упаковки (Ш х В х Г);;90 x 45 x 340 мм;Вага брутто;г;440;Тип устройства;;Подовжувач;Ширина;мм;90;Висота;мм;45;Довжина;мм;340;Вага;г;440;Стан;;Новий;Компанія-виробник;;Gembird;Країна-виробник;;Нідерланди;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203767;Сетевой фильтр 1.8 м кабель 5 розеток Gembird SPG5-G-6B-PRO;Мережевий фільтр 1.8 м кабель 5 розеток Gembird SPG5-G-6B-PRO;SPG5-G-6B-PRO, Gembird SPG5-G-6B-PRO, SPG5-G-6B-PRO Gembird, удлинитель gembird, gembird удлинитель, удлинитель электрический, кабель удлинитель, удлинитель с розетками, удлинитель для дома, удлинитель силовой, удлинитель на катушке, кабель удлинитель длинный, удлинитель для техники;SPG5-G-6B-PRO, Gembird SPG5-G-6B-PRO, SPG5-G-6B-PRO Gembird, подовжувач gembird, gembird подовжувач, подовжувач електричний, кабель подовжувач, подовжувач з розетками, подовжувач для дому, подовжувач силовий, подовжувач на котушці, кабель подовжувач довгий, подовжувач для техніки;● Напряжение: 220 В, 50 Гц,<br>● Максимальное поглощение тока импульсного помехи 4500 А,<br>● Автоматический предохранитель: 16 А,<br>● Максимальная поглощаемая энергия (при продолжительности скачка напряжения 2мкс): 125 Дж,<br>● Длина: 1.8 м;● Напруга: 220 В, 50 Гц,<br>● Максимальне поглинання струму імпульсної перешкоди 4500 А,<br>● Автоматичний запобіжник: 16 А,<br>● Максимальна енергія, що поглинається (при тривалості стрибка напруги 2мкс): 125 Дж,<br>● Довжина: 1.8 м;r;381.00;UAH;шт.;;;;https://viatec.ua/upload/images/prod/2024-07/SPG5-G-6B-PRO.webp;-;0;140905382;Безопасность и комфорт;https://prom.ua/Udliniteli-elektricheskie;;;;;;prom_99-00020996;513;;Gembird;Нідерланди;;;V, Vmin, noindex;https://viatec.ua/product/Gembird-SPG5-G-6B-PRO;;;;;;;;;;;0.44;9.0;4.5;34.0;;Кількість розеток;;5;Довжина кабеля, м;;1.8;Заземлення;;Підтримує;Особливості;;автоматичний запобіжник із кнопкою скидання;Розмір упаковки (Ш х В х Г);;90 x 45 x 340 мм;Вага брутто;г;440;Тип устройства;;Подовжувач;Ширина;мм;90;Висота;мм;45;Довжина;мм;340;Вага;г;440;Стан;;Новий;Компанія-виробник;;Gembird;Країна-виробник;;Нідерланди;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
