№;Линк категории поставщика;channel;prefix;coef_retail;coef_dealer;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;feed;category id;Назва у постачальника;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
19;https://secur.ua/ajax/zaxist-vid-vtorgnennia/datchiki-razbitija-stekla/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;302302;https://prom.ua/Ohrannye-izveschateli;S;;Вага;г;;50;475;Датчики розбиття;Тип устройства;;Датчики розбиття
20;https://secur.ua/ajax/zaxist-vid-vtorgnennia/datchiki-razbitija-stekla/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;302302;https://prom.ua/Ohrannye-izveschateli;"S, Sprom, noindex";;Вага;г;;50;475;Датчики розбиття;Тип устройства;;Датчики розбиття
21;"https://secur.ua/ajax/zaxist-vid-vtorgnennia/sireny/status=1;instalation-syrene=zovni-useredini-primishhen-13960";site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;300402;https://prom.ua/Sireny-signalnye;S;;Вага;г;;50;483;Вуличні сирени;Тип устройства;;Вуличні сирени
22;"https://secur.ua/ajax/zaxist-vid-vtorgnennia/sireny/status=1;instalation-syrene=zovni-useredini-primishhen-13960";prom;prom_;"0,99";"1,3";148391021;Ajax;300402;https://prom.ua/Sireny-signalnye;"S, Sprom, noindex";;Вага;г;;50;483;Вуличні сирени;Тип устройства;;Вуличні сирени
23;"https://secur.ua/ajax/zaxist-vid-vtorgnennia/sireny/status=1;instalation-syrene=useredini-13961";site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;300402;https://prom.ua/Sireny-signalnye;S;;Вага;г;;50;484;Кімнатні сирени;Тип устройства;;Кімнатні сирени
24;"https://secur.ua/ajax/zaxist-vid-vtorgnennia/sireny/status=1;instalation-syrene=useredini-13961";prom;prom_;"0,99";"1,3";148391021;Ajax;300402;https://prom.ua/Sireny-signalnye;"S, Sprom, noindex";;Вага;г;;50;484;Кімнатні сирени;Тип устройства;;Кімнатні сирени
25;https://secur.ua/ajax/zaxist-vid-vtorgnennia/trivozni-knopki/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;302308;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda;S;;Вага;г;;50;485;Кнопка тривожної сигналізації;Тип устройства;;Кнопка тривожної сигналізації
26;https://secur.ua/ajax/zaxist-vid-vtorgnennia/trivozni-knopki/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;302308;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda;"S, Sprom, noindex";;Вага;г;;50;485;Кнопка тривожної сигналізації;Тип устройства;;Кнопка тривожної сигналізації
27;https://secur.ua/ajax/zaxist-vid-vtorgnennia/kartki/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;301310;https://prom.ua/Identifikatory;S;;Вага;г;;50;534;Карти;Тип устройства;;Карта доступу
28;https://secur.ua/ajax/zaxist-vid-vtorgnennia/kartki/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;301310;https://prom.ua/Identifikatory;"S, Sprom, noindex";;Вага;г;;50;534;Карти;Тип устройства;;Карта доступу
