prom_category_id;prom_category_name;rozetka_category_id;rozetka_category_name;matched_royalty_id;matched_royalty_name;match_level;brand;royalty_percent;price_from;price_to;threshold;coef_uncategorized;coef_no_base;coef_viatec;coef_secur;coef_lp;coef
;;;;;;;;;;;;1.4;1.33;;;;
625;Кліматична техніка > Зволожувачі та очищувачі повітря;80130;Зволожувачі повітря;80079;Кліматична техніка;gap:80130;;13;0;1999;1.29;;;0.9;0.9;1;
625;Кліматична техніка > Зволожувачі та очищувачі повітря;80130;Зволожувачі повітря;80130;Зволожувачі повітря;0;;5;2000;8999;1.18;;;0.9;0.9;1;
625;Кліматична техніка > Зволожувачі та очищувачі повітря;80130;Зволожувачі повітря;80130;Зволожувачі повітря;0;;4;9000;999999999;1.17;;;0.9;0.9;1;
706;Комп'ютерна техніка та ПЗ > Монітори;80089;Монітори;80089;Монітори;0;;12;;;1.28;;;0.9;0.9;1;
706;Комп'ютерна техніка та ПЗ > Монітори;80089;Монітори;80089;Монітори;0;;10;5000;9999;1.25;;;0.9;0.9;1;
706;Комп'ютерна техніка та ПЗ > Монітори;80089;Монітори;80089;Монітори;0;;7;10000;19999;1.21;;;0.9;0.9;1;
706;Комп'ютерна техніка та ПЗ > Монітори;80089;Монітори;80089;Монітори;0;;5;20000;29999;1.18;;;0.9;0.9;1;
706;Комп'ютерна техніка та ПЗ > Монітори;80089;Монітори;80089;Монітори;0;;3;30000;999999999;1.16;;;0.9;0.9;1;
1336;Аксесуари та фурнітура для вікон та дверей > Дверні дзвінки;4645592;Дверні дзвінки;4627949;Смартфони, ТВ і електроніка;gap:4645592;;22;0;1999;1.45;;;0.9;0.9;1;
1336;Аксесуари та фурнітура для вікон та дверей > Дверні дзвінки;4645592;Дверні дзвінки;4645592;Дверні дзвінки;0;;12;2000;6999;1.28;;;0.9;0.9;1;
1336;Аксесуари та фурнітура для вікон та дверей > Дверні дзвінки;4645592;Дверні дзвінки;4645592;Дверні дзвінки;0;;10;7000;13999;1.25;;;0.9;0.9;1;
1336;Аксесуари та фурнітура для вікон та дверей > Дверні дзвінки;4645592;Дверні дзвінки;4645592;Дверні дзвінки;0;;7;14000;19999;1.21;;;0.9;0.9;1;
1336;Аксесуари та фурнітура для вікон та дверей > Дверні дзвінки;4645592;Дверні дзвінки;4645592;Дверні дзвінки;0;;5;20000;99999;1.18;;;0.9;0.9;1;
1336;Аксесуари та фурнітура для вікон та дверей > Дверні дзвінки;4645592;Дверні дзвінки;4645592;Дверні дзвінки;0;;3;100000;999999999;1.16;;;0.9;0.9;1;
