url;name;category;Адрес_подраздела;Идентификатор_подраздела;Категория
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:indikator";Індикатор;Тип;https://prom.ua/ua/Taktilnaya-plitka;13072904;Тактильні плитки та індикатори
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:indikator";Індикатор;Тип;https://prom.ua/ua/Taktilnaya-plitka;13072904;Тактильні плитки та індикатори
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:pe-klema";PE/N-клема;Тип;;;
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:pe-klema";PE/N-клема;Тип;;;
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:trimach-klem";Тримач клем;Тип;https://prom.ua/ua/Derzhateli;230608;Тримачі
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:trimach-klem";Тримач клем;Тип;https://prom.ua/ua/Derzhateli;230608;Тримачі
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:adapter-klemnik";Адаптер для кріплення клемників;Тип;https://prom.ua/ua/Klyuchi-dlya-patrona;14200328;Ключі для патрона
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:adapter-klemnik";Адаптер для кріплення клемників;Тип;https://prom.ua/ua/Klyuchi-dlya-patrona;14200328;Ключі для патрона
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:shina-faza";Шина фазна;Тип;;;
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:shina-faza";Шина фазна;Тип;;;
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:rozpodilchii-blok";Розподільчий блок;Тип;https://prom.ua/ua/Podstavki-pod-sistemnyj-blok;15030416;Підставки під системний блок
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:rozpodilchii-blok";Розподільчий блок;Тип;https://prom.ua/ua/Podstavki-pod-sistemnyj-blok;15030416;Підставки під системний блок
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:obmezh-naprugi";Обмежувач напруги;Тип;https://prom.ua/ua/Ukazateli-i-indikatory-napryazheniya;14200608;Покажчики та індикатори напруги
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:obmezh-naprugi";Обмежувач напруги;Тип;https://prom.ua/ua/Ukazateli-i-indikatory-napryazheniya;14200608;Покажчики та індикатори напруги
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:dzvinok";Дзвінок;Тип;https://prom.ua/ua/Kolokolchiki;1746;Дзвіночки
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:dzvinok";Дзвінок;Тип;https://prom.ua/ua/Kolokolchiki;1746;Дзвіночки
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:utrimuvach-klemi";Утримувач з клемами;Тип;https://prom.ua/ua/Drugie-yuvelirnye-izdeliya-iz-zolota;15090211;"Ювелірні вироби з золота, загальне"
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:utrimuvach-klemi";Утримувач з клемами;Тип;https://prom.ua/ua/Drugie-yuvelirnye-izdeliya-iz-zolota;15090211;"Ювелірні вироби з золота, загальне"
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:torceva-zaglushka";Торцева заглушка;Тип;;;
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:torceva-zaglushka";Торцева заглушка;Тип;;;
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:elektro-puskach";Електромагнітний пускач;Тип;https://prom.ua/ua/Elektromagnity;508;Електромагніти
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:elektro-puskach";Електромагнітний пускач;Тип;https://prom.ua/ua/Elektromagnity;508;Електромагніти
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:rozednuvach";Роз'єднувач;Тип;https://prom.ua/ua/Razediniteli;410516;Роз'єднувачі
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:rozednuvach";Роз'єднувач;Тип;https://prom.ua/ua/Razediniteli;410516;Роз'єднувачі
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:zapobizhnik";Запобіжник;Тип;https://prom.ua/ua/Termopredohraniteli;400504;Термозапобіжники
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:zapobizhnik";Запобіжник;Тип;https://prom.ua/ua/Termopredohraniteli;400504;Термозапобіжники
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:trimach-zapobizhnik";Утримувач запобіжника;Тип;;;
"https://viatec.ua/catalog/avtomatichni-vimikachi/0:0;tip-avtomatu:trimach-zapobizhnik";Утримувач запобіжника;Тип;;;
