category_id;category_name;coef_kasta;coef_epicenter;coef_rozetka
63705;Носители информации > Карты памяти;1.5;1.44;1.66
63708;Аксессуары для телевизоров и проекторов > Крепления и лифты для бытовой, цифровой техники;1.5;1.27;1.66
63719;Аксессуары для телевизоров и проекторов > Кабели для электроники;1.5;1.44;1.66
64404;Запчасти и аксессуары для бытовой техники > Запчасти для пылесосов, пароочистителей;1.44;1.44;1.66
64430;Запчастини для зволожувачів, очищувачів повітря;1.38;1.35;1.66
70105;Компьютерная техника и ПО > Планшеты;1.35;1.35;1.66
70306;Монтажное оборудование > Монтажные шкафы;1.44;1.44;1.66
70308;Серверное оборудование > Аксессуары и комплектующие для серверного оборудования;1.5;1.44;1.66
70501;Носители информации > USB накопители;1.44;1.27;1.66
70704;Комплектующие для компьютерной техники > Внутренние и внешние жесткие диски, HDD, SSD;1.44;1.35;1.66
70807;Серверное оборудование > Сетевые накопители;1.38;1.44;1.66
71109;Повербанки и зарядные станции > Повербанки;1.5;1.44;1.66
71113;Компьютерные аксессуары > Компьютерные клавиатуры;1.5;1.27;1.66
71902;Беспроводная связь > Роутеры;1.38;1.27;1.66
71903;Активное сетевое оборудование > Коммутаторы;1.38;1.27;1.66
100703;Системы использующие солнечную энергию > Солнечные контроллеры;1.38;1.44;1.66
101003;Альтернативные источники энергии > Комплектующие для альтернативных источников энергии;1.44;1.44;1.66
121105;Оборудование для автомоек > Аппараты высокого давления;1.4;1.44;1.66
121246;Средства аварийной безопасности > Наборы и аксессуары для автомобилиста;1.5;1.44;1.66
135605;Ворота, ограждения, шлагбаумы и комплектующие > Шлагбаумы;1.5;1.44;1.66
141002;Компрессоры > Компрессоры поршневые;1.5;1.35;1.66
141702;Оснастка для инструмента > Отверточные биты;1.5;1.44;1.66
141703;Электроинструмент > Фрезерные машины;1.5;1.44;1.66
141706;Электроинструмент > Строительные фены;1.5;1.44;1.66
141711;Электроинструмент > Дрели, шуруповерты;1.5;1.44;1.66
141714;Электроинструмент > Электрические гайковерты;1.5;1.44;1.66
141717;Электроинструмент > Шлифовальные машины;1.5;1.44;1.66
141718;Электроинструмент > Штроборезы;1.5;1.44;1.66
141720;Электрические пилы > Электроножовки;1.5;1.44;1.66
141725;Электроинструмент > Перфораторы;1.5;1.44;1.66
