prom_category_id;prom_category_name;threshold;coef_transition
;;;1.15
513;Комплектующие для освещения и электрики > Электрические удлинители;1.28;
518;Аудиотехника и аксессуары > Акустические системы;1.27;
602;Крупная бытовая техника для кухни > Холодильники;1.23;
608;Бытовая техника для дома > Пылесосы;1.26;
623;Аксессуары для телевизоров и проекторов > ДУ пульты;1.31;
625;Климатическая техника > Увлажнители и очистители воздуха;1.23;
706;Компьютерная техника и ПО > Мониторы;1.25;
1336;Аксессуары и фурнитура для окон и дверей > Дверные звонки;1.28;
1354;Леса и другие конструкции для ремонтно-строительных работ > Комплектующие для лестниц и строительных лесов;1.24;
1507;Аудиотехника и аксессуары > Батарейки;1.30;
1902;Видеотехника > Видеокамеры, экшн-камеры;1.26;
2657;Фото-, видеокамеры и аксессуары > Квадрокоптеры;1.23;
2703;Товары для ухода за домашними животными > Средства для гигиены животных;1.22;
3029;Система умный дом > Домофоны;1.27;
3030;Средства и системы СКУД > Системы СКУД;1.15;
30813;Спецодежда и обувь > Защитная спецодежда;1.31;
33915;Аксессуары > Дождевики;1.26;
50505;Радиоизмерительные приборы > Металлоискатели, металлодетекторы;1.27;
50904;Оборудование для электроснабжения > Щитовое оборудование;1.26;
50906;Средства связи и позиционирования > Переговорные устройства;1.18;
50918;Инструмент для сетевых работ > Кабельные тестеры, wi-fi тестеры;1.26;
50928;Активное сетевое оборудование > Оборудование для питания по ethernet;1.22;
52806;Системы использующие солнечную энергию > Солнечные панели;1.24;
53004;Электрика > Электрические розетки;1.26;
53005;Комплектующие для освещения и электрики > Вилки электрические;1.27;
63022;Бытовая техника для дома > Пароочистители;1.27;
63701;Аудиотехника и аксессуары > Усилители звука;1.27;
63705;Носители информации > Карты памяти;1.29;
63708;Аксессуары для телевизоров и проекторов > Крепления и лифты для бытовой, цифровой техники;1.30;
63719;Аксессуары для телевизоров и проекторов > Кабели для электроники;1.27;
64404;Запчасти и аксессуары для бытовой техники > Запчасти для пылесосов, пароочистителей;1.27;
64430;Запчастини для зволожувачів, очищувачів повітря;1.25;
70105;Компьютерная техника и ПО > Планшеты;1.23;
