categoryId;offer id;article;name_ua;price;stock_quantity
1554082;3098521936;700121;Smart BMS плата LP LiFePO4 48V 16S Dis 300A Ch 150A CAN+Bluetooth;14377;6
1554082;3098521944;700125;BMS плата LP LiFePO4 36V 12S Dis 80A Ch 40A;1988;12
1554082;3098521946;700126;BMS плата LP LiFePO4 12V 4S Dis 150A Ch 75A;2844;14
1554082;3098521948;700127;BMS плата LP LiFePO4 48V 16S Dis 200A Ch 100A;4863;12
1554082;3098521954;700130;Smart BMS плата LP LiFePO4 48V 16S Dis 250A Ch 125A UART+RS485+CAN;11134;9
1554082;3098521956;700131;Smart BMS плата LP LiFePO4 48V 16S Dis 100A Ch 50A UART+RS485+CAN;3884;15
1554082;3098521958;700132;Smart BMS плата LP LiFePO4 36V 12S Dis 60A Ch 30A UART+RS485+CAN;3089;13
1554082;3098521960;700133;Smart BMS плата LP LiFePO4 24V 8S Dis 80A Ch 40A UART+RS485+CAN;3700;12
1554082;3098521962;700134;BMS плата LP LiFePO4 48V 16S Dis 60A Ch 30A;2478;12
1554082;3098522063;700135;Акумуляторна батарея LP 40OPzS 2V - 280 Ah;6730;10
1554082;3098522065;700136;BMS плата LiFePO4 36V 12S Dis 50A Ch 30A;1560;15
1554082;3098522085;700146;BMS плата LiFePO4 36V 12S Dis 60A Ch 30A;1438;12
1554082;3098522087;700147;BMS плата LiFePO4 48V 16S Dis 80A Ch 40A;1865;15
1554082;3098522089;700148;BMS плата LiFePO4 48V 16S Dis 100A Ch 50A;2049;14
1554082;3098522091;700149;BMS плата LiFePO4 48V 16S 80A симметрия;3719;13
1554082;3098522110;700158;Конектор для LTO 40 (35) Ah - 2.4V (Yinlong);62;12
1554082;3098522116;700161;BMS плата LTO 48V 20S 100A симметрия;5078;10
1554082;3098522120;700163;BMS плата LTO 24V 10S 100A симметрия;4497;11
80108;3098522122;700164;Модуль для віддаленого управління онлайн ДБЖ LogicPower;4924;12
1554082;3098522124;700165;Тяговий свинцево-кислотний AGM акумулятор LP 6-DZM-12 Ah - под Болт М5;1688;12
80108;3098522128;700167;ДБЖ з правильною синусоїдою 48V LPY-B-PSW-6000VA+(4200Вт)10A/20A;20189;3
1554082;3098522132;700169;Акумулятор гелевий LPM-GL 12V - 7.2 Ah;865;12
1554082;3098522134;700170;Акумулятор гелевий LPM-GL 12V - 7 Ah (3098522134);838;13
