product_type;theme;schedule;google_cat_id;google_cat_hint;notes
"електрообладнання > монтажне обладнання > дріт, кабель, системи з'єднання > кабель для систем зв'язку";cable;day;1480;Electronics > Electronics Accessories > Cables > Network Cables;auto
електрообладнання > монтажне обладнання > монтажні шафи;cable_box;day;5832;Business & Industrial > Industrial Storage > Industrial Cabinets;auto
"електрообладнання > монтажне обладнання > дріт, кабель, системи з'єднання > Шнури, перехідники";cable_components;day;1763;Electronics > Electronics Accessories > Cables > System & Power Cables;auto
"електрообладнання > монтажне обладнання > дріт, кабель, системи з'єднання > роз'єми та конектори";cable_components;day;503729;Hardware > Power & Electrical Supplies > Wire Terminals & Connectors;auto
"електрообладнання > монтажне обладнання > дріт, кабель, системи з'єднання > силові кабелі, перемички";cable_components;day;2345;Hardware > Power & Electrical Supplies > Electrical Wires & Cable;auto
електрообладнання > монтажне обладнання > електроізолятори > Електроізоляційні стрічки та трубки;cable_components;day;2212;Hardware > Building Consumables > Hardware Tape;auto
техніка та електроніка > TV та відеотехніка > аксесуари для телевізорів та проекторів > кабелі для електроніки;cable_components;day;1867;Electronics > Electronics Accessories > Cables > Audio & Video Cables;auto
електрообладнання > монтажне обладнання > кабеленесучі системи;cable_components;day;499770;Hardware > Power & Electrical Supplies > Conduit & Housings > Electrical Conduit;auto
"електрообладнання > компоненти АСУТП > реле > автоматичні вимикачі, ПЗВ";energy;day;6807;Hardware > Power & Electrical Supplies > Circuit Breaker Panels;auto
електрообладнання > компоненти АСУТП > реле > реле напруги;energy;day;499932;Hardware > Power & Electrical Supplies > Electrical Switches > Specialty Electrical Switches & Relays;auto
електрообладнання > обладнання для електропостачання > щитове обладнання;energy;day;6807;Hardware > Power & Electrical Supplies > Circuit Breaker Panels;auto
"електрообладнання > освітлення, електрика > комплектуючі для освітлення та електрики > електричні вилки";energy;day;5627;Hardware > Power & Electrical Supplies > Electrical Plug Caps;auto
"електрообладнання > освітлення, електрика > комплектуючі для освітлення та електрики > електричні подовжувачі";energy;day;4789;Hardware > Power & Electrical Supplies > Extension Cords;auto
матеріали для ремонту > електрика > настінні вимикачі;energy;day;1935;Hardware > Power & Electrical Supplies > Electrical Switches > Light Switches;auto
матеріали для ремонту > електрика > розетки електричні;energy;day;1869;Hardware > Power & Electrical Supplies > Power Outlets & Sockets;auto
матеріали для ремонту > електрика > силові вилки та розетки;energy;day;1869;Hardware > Power & Electrical Supplies > Power Outlets & Sockets;auto
матеріали для ремонту > скріплювальні вироби > кронштейни;home;day;7092;Hardware > Hardware Accessories > Brackets & Reinforcement Braces;auto
матеріали для ремонту > скріплювальні вироби > метричне кріплення > гайки;home;day;1739;Hardware > Hardware Accessories > Hardware Fasteners > Nuts & Bolts;auto
