product_type;theme;schedule;google_cat_id;google_cat_hint;notes
Інструменти > ручний інструмент > монтажні пінцети;tool_hand;day;1196;Hardware > Tools > Pickup Tools;auto
Інструменти > ручний інструмент > мультитули;tool_hand;day;4095;Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Tools > Multifunction Tools & Knives;auto
Інструменти > ручний інструмент > ручні знімачі > знімачі ізоляції;tool_hand;day;1469;Hardware > Tools > Wire & Cable Hand Tools;auto
Інструменти > ручний інструмент > ручні обтискні інструменти;tool_hand;day;1469;Hardware > Tools > Wire & Cable Hand Tools;auto
Інструменти > ручний інструмент > сокири;tool_hand;day;1171;Hardware > Tools > Axes;auto
промислове обладнання та верстати > верстати > металообробні верстати > точильні верстати;tool_industrial;day;1219;Hardware > Tools > Grinders;auto
"промислове обладнання та верстати > виробниче обладнання > допоміжне обладнання > станини, верстаки, робочі столи";tool_industrial;day;3919;Hardware > Hardware Accessories > Tool Storage & Organization > Work Benches;auto
промислове обладнання та верстати > компресори > поршневі компресори;tool_industrial;day;2015;Hardware > Tools > Compressors;auto
промислове обладнання та верстати > промислове прибиральне та очисне обладнання > промислові пилососи;tool_industrial;day;619;Home & Garden > Household Appliances > Vacuums;auto
будівництво > будівельна техніка та обладнання > риштування та інші конструкції для ремонтно-будівельних робіт > будівельні та садові драбини;tool_ladders;day;6928;Hardware > Tools > Ladders & Scaffolding > Ladders;auto
будівництво > будівельна техніка та обладнання > риштування та інші конструкції для ремонтно-будівельних робіт > драбини;tool_ladders;day;6928;Hardware > Tools > Ladders & Scaffolding > Ladders;auto
будівництво > будівельна техніка та обладнання > риштування та інші конструкції для ремонтно-будівельних робіт > комплектуючі для сходів та будівельних риштувань;tool_ladders;day;130;Hardware > Tools > Ladders & Scaffolding;auto
"контрольно-вимірювальні прилади > прилади вимірювання, регулювання температури > термометри, пірометри, тепловізори";tool_measuring;day;4506;Hardware > Tools > Measuring Tools & Sensors > Infrared Thermometers;auto
"контрольно-вимірювальні прилади > радіовимірювальні прилади > металошукачі, металодетектори";tool_measuring;day;361;Business & Industrial > Law Enforcement > Metal Detectors;auto
контрольно-вимірювальні прилади > оптичні прилади і системи > штативи для вимірювального обладнання;tool_measuring;day;5526;Hardware > Tool Accessories > Measuring Tool & Sensor Accessories;auto
контрольно-вимірювальні прилади > радіовимірювальні прилади > детектори прихованої проводки;tool_measuring;day;1207;Hardware > Tools > Measuring Tools & Sensors > Stud Sensors;auto
Інструменти > будівельний інструмент > будівельний вимірювальний інструмент > будівельні рівні;tool_measuring;day;4081;Hardware > Tools > Measuring Tools & Sensors > Levels > Bubble Levels;auto
Інструменти > будівельний інструмент > будівельний вимірювальний інструмент > вимірювальні рулетки;tool_measuring;day;2481;Hardware > Tools > Measuring Tools & Sensors > Tape Measures;auto
контрольно-вимірювальні прилади > геодезичне обладнання > нівелірні рейки та віхи;tool_measuring;day;1533;Hardware > Tools > Measuring Tools & Sensors > Cruising Rods;auto
контрольно-вимірювальні прилади > електровимірювальні прилади > мультиметри;tool_measuring;day;503737;Hardware > Tools > Measuring Tools & Sensors > Electrical Testing Tools;auto
контрольно-вимірювальні прилади > оптичні прилади і системи > лазерні далекоміри;tool_measuring;day;5487;Hardware > Tools > Measuring Tools & Sensors > Distance Meters;auto
"Інструменти > будівельний інструмент > будівельний вимірювальний інструмент > лазерні нівеліри, рівні, сканери";tool_measuring;day;4931;Hardware > Tools > Measuring Tools & Sensors > Levels > Laser Levels;auto
контрольно-вимірювальні прилади > оптичні прилади і системи > оптичні нівеліри;tool_measuring;day;4294;Hardware > Tools > Measuring Tools & Sensors > Levels > Sight Levels;auto
"контрольно-вимірювальні прилади > оптичні прилади і системи > технічні ендоскопи, відеоскопи";tool_measuring;day;499976;Cameras & Optics > Cameras > Borescopes;auto
"контрольно-вимірювальні прилади > радіовимірювальні прилади > аналізатори спектру, шуму";tool_measuring;day;503737;Hardware > Tools > Measuring Tools & Sensors > Electrical Testing Tools;auto
"телекомунікації та зв'язок > інструмент для мережевих робіт > кабельні тестери, wi-fi тестери";tool_network;day;5526;Hardware > Tool Accessories > Measuring Tool & Sensor Accessories;auto
телекомунікації та зв'язок > інструмент для мережевих робіт > інструмент для закладення кабелю;tool_network;day;1469;Hardware > Tools > Wire & Cable Hand Tools;auto
Інструменти > гідравлічний інструмент > гідравлічні ланцюгові пили;tool_power;day;3610;Home & Garden > Lawn & Garden > Outdoor Power Equipment > Chainsaws;auto
Інструменти > електроінструмент > Будівельні фени;tool_power;day;1220;Hardware > Tools > Heat Guns;auto
Інструменти > електроінструмент > багатофункціональні інструменти;tool_power;day;5587;Hardware > Tools > Multifunction Power Tools;auto
"Інструменти > електроінструмент > дрилі, шуруповерти";tool_power;day;2629;Hardware > Tools > Drills > Handheld Power Drills;auto
Інструменти > електроінструмент > електричні будівельні міксери;tool_power;day;499887;Hardware > Tools > Handheld Power Mixers;auto
Інструменти > електроінструмент > електричні гайковерти;tool_power;day;1221;Hardware > Tools > Impact Wrenches & Drivers;auto
Інструменти > електроінструмент > електричні пили > електроножівки;tool_power;day;3494;Hardware > Tools > Saws > Reciprocating Saws;auto
Інструменти > електроінструмент > електричні пили > ручні дискові пили;tool_power;day;3224;Hardware > Tools > Saws > Handheld Circular Saws;auto
Інструменти > електроінструмент > електролобзики;tool_power;day;3725;Hardware > Tools > Saws > Jigsaws;auto
Інструменти > електроінструмент > клейові електричні пістолети;tool_power;day;4073;Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Tools > Glue Guns;auto
Інструменти > електроінструмент > паяльники;tool_power;day;1236;Hardware > Tools > Soldering Irons;auto
Інструменти > електроінструмент > перфоратори;tool_power;day;505364;Hardware > Tools > Hammers > Powered Hammers;auto
Інструменти > електроінструмент > фрезерні машини;tool_power;day;1841;Hardware > Tools > Routing Tools;auto
Інструменти > електроінструмент > шліфувальні машини;tool_power;day;1188;Hardware > Tools > Sanders;auto
Інструменти > електроінструмент > штроборізи;tool_power;day;3516;Hardware > Tools > Saws > Cut-Off Saws;auto
Інструменти > пневматичний інструмент > пневматичні відбійні молотки;tool_power;day;505364;Hardware > Tools > Hammers > Powered Hammers;auto
Інструменти > електроінструмент > електричні пили > ручні торцювальні пили;tool_power;day;3517;Hardware > Tools > Saws > Miter Saws;auto
техніка та електроніка > TV та відеотехніка > телевізори;tv;day;404;Electronics > Video > Televisions;auto
"техніка та електроніка > TV та відеотехніка > супутникове, кабельне телебачення > супутникові антени";tv_antennas;day;1718;Electronics > Electronics Accessories > Antennas;auto
техніка та електроніка > TV та відеотехніка > аксесуари для телевізорів та проекторів > телевізійні антени;tv_antennas;day;1718;Electronics > Electronics Accessories > Antennas;auto
техніка та електроніка > TV та відеотехніка > аксесуари для телевізорів та проекторів > ДУ пульти;tv_components;day;341;Electronics > Electronics Accessories > Remote Controls;auto
"техніка та електроніка > TV та відеотехніка > аксесуари для телевізорів та проекторів > кріплення та ліфти для побутової, цифрової техніки";tv_components;day;4458;Electronics > Video > Video Accessories > Television Parts & Accessories > TV & Monitor Mounts;auto
"техніка та електроніка > TV та відеотехніка > супутникове, кабельне телебачення > дайсеки, підсилювачі, телевізійні розгалужувачі";tv_components;day;1544;Electronics > Components > Splitters;auto
"техніка та електроніка > TV та відеотехніка > супутникове, кабельне телебачення > запчастини для супутникового обладнання";tv_components;day;5561;Electronics > Video > Satellite & Cable TV;auto
"техніка та електроніка > TV та відеотехніка > супутникове, кабельне телебачення > супутникові конвертери";tv_components;day;6016;Electronics > Electronics Accessories > Antenna Accessories > Satellite LNBs;auto
техніка та електроніка > бездротовий зв'язок > Wi-fi адаптери;tv_network;day;290;Electronics > Networking > Network Cards & Adapters;auto
техніка та електроніка > бездротовий зв'язок > антенні підсилювачі;tv_network;day;5473;Electronics > Electronics Accessories > Signal Boosters;auto
техніка та електроніка > TV та відеотехніка > Медіаплеєри;tv_players;day;5276;Electronics > Video > Video Players & Recorders > Streaming & Home Media Players;auto
"техніка та електроніка > TV та відеотехніка > супутникове, кабельне телебачення > ресивери цифрового телебачення";tv_receivers;day;401;Electronics > Video > Satellite & Cable TV > Satellite Receivers;auto
Дім і сад > сучасний будинок > системи відеонагляду;video;night;390;Electronics > Video > Video Players & Recorders > Digital Video Recorders;auto
"техніка та електроніка > фото-, відеокамери та аксесуари > відеотехніка > відеокамери, екшн-камери";video_action;night;155;Cameras & Optics > Cameras > Video Cameras;auto
"авто-, мото > автомобільна електроніка > автомобільні відеореєстратори";video_auto;day;505766;Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Electronics > Motor Vehicle A/V Players & In-Dash Systems;auto
"товари для дітей > гігієна та догляд за дітьми > радіоняні, відеоняні";video_baby;night;541;Baby & Toddler > Baby Safety > Baby Monitors;auto
безпека та захист > технічні засоби відеоспостереження > камери відеоспостереження;video_cameras;night;362;Cameras & Optics > Cameras > Surveillance Cameras;auto
техніка та електроніка > аудіотехніка та аксесуари > мікрофони;video_components;day;234;Electronics > Audio > Audio Components > Microphones;auto
"обладнання та товари для надання послуг > професійне аудіо-, відео-, фото обладнання > комутатори сигналу";video_components;day;1634;Electronics > Video > Video Multiplexers;auto
"обладнання та товари для надання послуг > професійне аудіо-, відео-, фото обладнання > приймачі і передавачі сигналу";video_components;day;2121;Electronics > Networking > Repeaters & Transceivers;auto
безпека та захист > технічні засоби відеоспостереження > комплектуючі для систем відеоспостереження > кожухи і кронштейни;video_components;night;5937;Cameras & Optics > Camera & Optic Accessories > Camera Parts & Accessories > Surveillance Camera Accessories;auto
безпека та захист > технічні засоби відеоспостереження > комплектуючі для систем відеоспостереження > пульти для систем відеоспостереження;video_components;day;5532;Cameras & Optics > Camera & Optic Accessories > Camera Parts & Accessories > Camera Remote Controls;auto
безпека та захист > технічні засоби відеоспостереження > об'єктиви для камер відеоспостереження;video_components;day;5346;Cameras & Optics > Camera & Optic Accessories > Camera & Video Camera Lenses > Surveillance Camera Lenses;auto
Дім і сад > сучасний будинок > стаціонарні відеореєстратори;video_recorders;day;390;Electronics > Video > Video Players & Recorders > Digital Video Recorders;auto
"спорт і відпочинок > товари для полювання > фотопастки, камери для полювання";video_trap;day;5402;Cameras & Optics > Cameras > Trail Cameras;auto
